City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Humaita,BR,2021-04-21 03:49:38,-7.5061,-63.0208,73.78,94,73,2.3
67,Brigantine,US,2021-04-21 03:49:39,39.4101,-74.3646,57.2,62,1,13.8
68,Pasighat,IN,2021-04-21 03:49:39,28.0667,95.3333,86.85,32,2,3.33
69,Baykit,RU,2021-04-21 03:49:40,61.67,96.37,29.77,76,99,6.82
70,Luganville,VU,2021-04-21 03:49:40,-15.5333,167.1667,84.4,76,48,8.3
71,Seybaplaya,MX,2021-04-21 03:49:41,19.65,-90.6667,82.4,78,20,11.5
72,Bridgetown,BB,2021-04-21 03:49:41,13.1,-59.6167,78.8,61,40,19.57
73,Bang Saphan,TH,2021-04-21 03:49:41,11.2126,99.5117,91.4,70,20,4.61
74,Taksimo,RU,2021-04-21 03:46:05,56.3444,114.8794,32.0,68,100,4.72
75,Faanui,PF,2021-04-21 03:49:42,-16.4833,-151.75,82.11,72,97,13.76
76,Kirakira,SB,2021-04-21 03:49:42,-10.4544,161.9205,84.81,74,47,7.81
77,Dikson,RU,2021-04-21 03:49:43,73.5069,80.5464,15.69,93,100,21.72
78,Puerto Ayora,EC,2021-04-21 03:49:43,-0.7393,-90.3518,75.99,96,94,1.99
79,Abalak,RU,2021-04-21 03:49:44,58.1286,68.5944,37.11,57,23,8.34
80,Vao,NC,2021-04-21 03:49:44,-22.6667,167.4833,73.67,65,4,6.8
81,Caravelas,BR,2021-04-21 03:49:44,-17.7125,-39.2481,72.32,91,98,0.83
82,Mahebourg,MU,2021-04-21 03:46:17,-20.4081,57.7,78.8,83,75,5.75
83,Gleisdorf,AT,2021-04-21 03:49:45,47.1061,15.7127,41.0,100,20,1.14
84,Wloszczowa,PL,2021-04-21 03:49:45,50.8526,19.9659,44.01,1,95,6.33
85,Hilo,US,2021-04-21 03:49:46,19.7297,-155.09,80.6,57,1,10.36
